frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,lane_event,map
15260,637.717,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15261,637.767,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15262,637.817,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15263,637.867,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15264,637.917,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15265,637.967,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15266,638.017,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15267,638.067,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15268,638.117,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15269,638.167,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15270,638.217,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
15271,638.267,520.639,52.199,-0.005,0.353,0.000,0.0000,0.000,0.000,0.000,0,1,0,-7,-0.024,1.726,1.774,,Town06
