actor_tag,actor_id,frame,sim_time,x,y,z,yaw_deg,speed_mps,yawrate_rps,throttle,brake,steer,reverse,gear,hand_brake,lane_id,offset_m,dist_left_m,dist_right_m,map
npc,141,155329,6876.227,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155330,6876.305,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155330,6876.305,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155331,6876.385,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155331,6876.385,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155332,6876.457,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155332,6876.457,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155333,6876.523,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155333,6876.523,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155334,6876.595,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155334,6876.595,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155335,6876.666,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155335,6876.666,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155336,6876.735,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
npc,141,155336,6876.735,20.000,251.600,-0.012,0.001,0.000,0.0000,0.000,0.000,0.000,0,0,0,-1,0.067,1.817,1.683,Town06
hero,132,155337,6876.806,20.000,248.000,0.019,0.001,0.000,0.0000,0.000,0.000,0.000,0,1,0,1,-0.022,1.728,1.772,Town06
